Time [s];	Voltage [V];	Current [A]
+2.2799999999999997E+01;	+3.9785603108283802E+00;	+0.0000000000000000E+00
+2.3000000000000000E+01;	+3.9785601122696548E+00;	+0.0000000000000000E+00
+2.3199999999999999E+01;	+3.9785668632663165E+00;	+0.0000000000000000E+00
+2.3399999999999999E+01;	+3.9785634877679859E+00;	+0.0000000000000000E+00
+2.3599999999999998E+01;	+3.9785662675901405E+00;	+0.0000000000000000E+00
+2.3800000000000001E+01;	+3.9785648776790636E+00;	+0.0000000000000000E+00
+2.4000000000000000E+01;	+3.9785692459710202E+00;	+0.0000000000000000E+00
+2.4199999999999999E+01;	+3.9785740113804291E+00;	+0.0000000000000000E+00
+2.4399999999999999E+01;	+3.9785583252411265E+00;	+0.0000000000000000E+00
+2.4599999999999998E+01;	+3.9785686502948447E+00;	+0.0000000000000000E+00
+2.4799999999999997E+01;	+3.9785656719139642E+00;	+0.0000000000000000E+00
+2.5000000000000000E+01;	+3.9785624949743590E+00;	+0.0000000000000000E+00
+2.5200000000000003E+01;	+3.9785539569491690E+00;	+0.0000000000000000E+00
+2.5399999999999999E+01;	+3.9785636863267109E+00;	+0.0000000000000000E+00
+2.5600000000000001E+01;	+3.9785569353300487E+00;	+0.0000000000000000E+00
+2.5799999999999997E+01;	+3.9785603108283802E+00;	+0.0000000000000000E+00
+2.6000000000000000E+01;	+3.9785589209173025E+00;	+0.0000000000000000E+00
+2.6199999999999996E+01;	+3.9785547511840700E+00;	+0.0000000000000000E+00
+2.6400000000000002E+01;	+3.9785565382125987E+00;	+0.0000000000000000E+00
+2.6600000000000001E+01;	+3.9785557439776968E+00;	+0.0000000000000000E+00
+2.6800000000000001E+01;	+3.9785559425364223E+00;	+0.0000000000000000E+00
+2.7000000000000000E+01;	+3.9785573324474997E+00;	+0.0000000000000000E+00
+2.7199999999999999E+01;	+3.9785597151522043E+00;	+0.0000000000000000E+00
+2.7399999999999999E+01;	+3.9785573324474997E+00;	+0.0000000000000000E+00
+2.7599999999999998E+01;	+3.9785579281236760E+00;	+0.0000000000000000E+00
+2.7799999999999997E+01;	+3.9785656719139642E+00;	+0.0000000000000000E+00
+2.8000000000000000E+01;	+3.9785591194760279E+00;	+0.0000000000000000E+00
+2.8200000000000003E+01;	+3.9785642820028873E+00;	+0.0000000000000000E+00
+2.8399999999999999E+01;	+3.9785569353300492E+00;	+0.0000000000000000E+00
+2.8600000000000001E+01;	+3.9785605093871053E+00;	+0.0000000000000000E+00
+2.8799999999999997E+01;	+3.9785636863267104E+00;	+0.0000000000000000E+00
+2.9000000000000000E+01;	+3.9785617007394571E+00;	+0.0000000000000000E+00
+2.9199999999999996E+01;	+3.9785591194760279E+00;	+0.0000000000000000E+00
+2.9400000000000002E+01;	+3.9785585237998515E+00;	+0.0000000000000000E+00
+2.9600000000000001E+01;	+3.9785535598317185E+00;	+0.0000000000000000E+00
+2.9800000000000001E+01;	+3.9785585237998515E+00;	+0.0000000000000000E+00
+3.0000000000000000E+01;	+3.9785593180347534E+00;	+0.0000000000000000E+00
+3.0199999999999999E+01;	+4.0496683601092665E+00;	+1.0001140856980397E+00
+3.0399999999999999E+01;	+4.0504163308276588E+00;	+1.0001645144437388E+00
+3.0600000000000001E+01;	+4.0509476739766930E+00;	+1.0001807289961908E+00
+3.0800000000000001E+01;	+4.0513962181372580E+00;	+1.0001877205922021E+00
+3.1000000000000000E+01;	+4.0517790393597322E+00;	+1.0001939188156166E+00
+3.1199999999999999E+01;	+4.0521304883036011E+00;	+1.0001961997618329E+00
