Time [s];	Voltage [V];	Current [A]
+3.1000000000000000E+01;	+3.9857973281011909E+00;	+1.2309888378882500E-01
+3.1199999999999999E+01;	+3.9857989165709937E+00;	+1.2244653317091182E-01
+3.1399999999999999E+01;	+3.9858014978344234E+00;	+1.2195419588866345E-01
+3.1600000000000001E+01;	+3.9857999093646206E+00;	+1.2135108395755385E-01
+3.1800000000000001E+01;	+3.9857967324250150E+00;	+1.2086687874442510E-01
+3.2000000000000000E+01;	+3.9858058661263809E+00;	+1.2042194547484963E-01
+3.2200000000000003E+01;	+3.9857965338662900E+00;	+1.1988785695968220E-01
+3.2399999999999999E+01;	+3.9858100358596129E+00;	+1.1965014269529517E-01
+3.2600000000000001E+01;	+3.9858118228881416E+00;	+1.1927795177571049E-01
+3.2799999999999997E+01;	+3.9858175810911765E+00;	+1.1885057187484448E-01
+3.3000000000000000E+01;	+3.9858225450593103E+00;	+1.1849618225290577E-01
+3.3200000000000003E+01;	+3.9858223465005849E+00;	+1.1812666896583608E-01
+3.3399999999999999E+01;	+3.9858239349703877E+00;	+1.1776146964226279E-01
+3.3600000000000001E+01;	+3.9858179782086274E+00;	+1.1734108133740813E-01
+3.3799999999999997E+01;	+3.9858138084753949E+00;	+1.1701669111679487E-01
+3.4000000000000000E+01;	+3.9858175810911765E+00;	+1.1673261414126852E-01
+3.4200000000000003E+01;	+3.9858165882975496E+00;	+1.1634475411289237E-01
+3.4399999999999999E+01;	+3.9858285018210711E+00;	+1.1607961890812028E-01
+3.4600000000000001E+01;	+3.9858314802019508E+00;	+1.1575091472401067E-01
+3.4799999999999997E+01;	+3.9858265162338165E+00;	+1.1540966533571038E-01
+3.5000000000000000E+01;	+3.9858279061448947E+00;	+1.1510153925333637E-01
+3.5200000000000003E+01;	+3.9858275090274442E+00;	+1.1478042169468590E-01
+3.5399999999999999E+01;	+3.9858292960559716E+00;	+1.1452267477222371E-01
+3.5600000000000001E+01;	+3.9858281047036201E+00;	+1.1417785520723678E-01
+3.5799999999999997E+01;	+3.9858318773194017E+00;	+1.1393493443518170E-01
+3.6000000000000000E+01;	+3.9858225450593099E+00;	+1.1365284089114797E-01
+3.6200000000000003E+01;	+3.9858233392942117E+00;	+1.1334749161286357E-01
+3.6399999999999999E+01;	+3.9858203609133316E+00;	+1.1313233888170478E-01
+3.6600000000000001E+01;	+3.9858273104687192E+00;	+1.1286472438756695E-01
+3.6799999999999997E+01;	+3.9858261191163664E+00;	+1.1255853215089821E-01
+3.7000000000000000E+01;	+3.9858259205576414E+00;	+1.1232761113937333E-01
